ID,Number,Latitude,Longitude,Destination,Validity
1048,02,52.270670,21.080010,Wierna,2020-10-12 00:00:00.0
1049,01,52.273810,21.087157,Wierna,2020-10-12 00:00:00.0
1049,02,52.273740,21.087380,null,2020-10-12 00:00:00.0
1050,01,52.273543,21.091219,Jesiotrowa,2020-10-12 00:00:00.0
1050,02,52.272916,21.091739,Elsnerów,2020-10-12 00:00:00.0
1051,01,52.270976,21.093753,Lniana,2020-10-12 00:00:00.0
1052,01,52.257087,21.040029,Dw.Wileński,2020-10-12 00:00:00.0
1052,02,52.257499,21.041521,Szwedzka,2020-10-12 00:00:00.0
1053,01,52.259901,21.046392,Rzeszotarskiej,2020-10-12 00:00:00.0
1053,02,52.259525,21.046243,Piotra Skargi,2020-10-12 00:00:00.0
1053,04,52.261616,21.045639,Stalowa,2020-10-12 00:00:00.0
1053,05,52.261600,21.044480,Szwedzka,2020-10-12 00:00:00.0
1053,05,52.261531,21.044290,Szwedzka,2020-11-19 00:00:00.0
1053,07,52.261020,21.046148,"al.""Solidarności""",2020-10-12 00:00:00.0
1053,57,52.260785,21.046442,null,2020-10-12 00:00:00.0
1054,01,52.266532,21.058383,"al.""Solidarności""",2020-10-12 00:00:00.0
1054,02,52.266587,21.058880,Gorzykowska,2020-10-12 00:00:00.0
1055,01,52.268593,21.060081,Piotra Skargi,2020-10-12 00:00:00.0
1055,02,52.269527,21.061291,Bieżuńska,2020-10-12 00:00:00.0
1055,04,52.269354,21.059748,Myszkowska,2020-10-12 00:00:00.0
1056,01,52.272327,21.063163,Gorzykowska,2020-10-12 00:00:00.0
1056,02,52.273342,21.064440,gen.Rozwadowskiego,2020-10-12 00:00:00.0
1056,03,52.273412,21.061808,Metro Trocka,2020-10-12 00:00:00.0
1056,83,52.273412,21.061808,null,2020-10-12 00:00:00.0
1057,01,52.276400,21.066470,gen.Rozwadowskiego,2020-10-12 00:00:00.0
1057,02,52.277512,21.067813,Kościeliska,2020-10-12 00:00:00.0
1057,04,52.277167,21.066325,Łokietka,2020-10-12 00:00:00.0
1058,01,52.279579,21.069075,Jórskiego,2020-10-12 00:00:00.0
1058,02,52.281107,21.070773,Tużycka,2020-10-12 00:00:00.0
1058,04,52.280062,21.070686,Krzesiwa,2020-10-12 00:00:00.0
1058,04,52.280063,21.070686,Krzesiwa,2020-12-09 00:00:00.0
1059,01,52.282864,21.071784,Kościeliska,2020-10-12 00:00:00.0
1059,02,52.284455,21.073540,Młodzieńcza,2020-10-12 00:00:00.0
1060,01,52.286336,21.074692,Tużycka,2020-10-12 00:00:00.0
1060,02,52.287379,21.074864,Codzienna,2020-10-12 00:00:00.0
1060,02,52.287382,21.074856,Codzienna,2020-12-09 00:00:00.0
1060,03,52.286622,21.076729,Potulicka,2020-10-12 00:00:00.0
1060,04,52.287747,21.076190,Krynoliny,2020-10-12 00:00:00.0
1061,01,52.290664,21.069807,Radzymińska,2020-10-12 00:00:00.0
1061,02,52.290255,21.070583,św.Wincentego,2020-10-12 00:00:00.0
1062,01,52.292078,21.061719,Codzienna,2020-10-12 00:00:00.0
1062,02,52.292155,21.060605,Przy Grodzisku,2020-10-12 00:00:00.0
1063,01,52.286228,21.063395,Czerwińska,2020-10-12 00:00:00.0
1063,02,52.285954,21.063051,Kanał Bródnowski,2020-10-12 00:00:00.0
1064,01,52.286596,21.086548,Potulicka,2020-10-12 00:00:00.0
1064,02,52.286305,21.089552,Klamrowa,2020-10-12 00:00:00.0
1064,03,52.286555,21.087869,Potulicka,2020-10-12 00:00:00.0
1065,01,52.286357,21.093364,Lewinów,2020-10-12 00:00:00.0
1065,02,52.286120,21.095206,----------- ZĄBKI ------------,2020-10-12 00:00:00.0
1066,01,52.258429,21.034529,Wileńska,2020-10-12 00:00:00.0
1066,02,52.257882,21.034661,Stalowa,2020-10-12 00:00:00.0
1066,03,52.257610,21.034170,Targowa,2020-10-12 00:00:00.0
1066,04,52.257977,21.034632,Stalowa,2020-10-12 00:00:00.0
1066,05,52.258332,21.035712,Dąbrowszczaków,2020-10-12 00:00:00.0
1066,06,52.258393,21.033340,Dąbrowszczaków,2020-10-12 00:00:00.0
1067,01,52.259464,21.039320,Inżynierska,2020-10-12 00:00:00.0
1067,02,52.259611,21.039768,Środkowa,2020-10-12 00:00:00.0
1068,01,52.259169,21.042536,Czynszowa,2020-10-12 00:00:00.0
1069,01,52.260132,21.042926,Konopacka,2020-10-12 00:00:00.0
1070,01,52.264497,21.042260,Stalowa,2020-10-12 00:00:00.0
1070,01,52.264551,21.042194,Stalowa,2020-11-19 00:00:00.0
1070,02,52.265376,21.041338,11 Listopada,2020-10-12 00:00:00.0
1071,01,52.263766,21.038261,Namysłowska,2020-10-12 00:00:00.0
1071,02,52.264222,21.038481,rondo Żaba,2020-10-12 00:00:00.0
1072,01,52.260370,21.035886,Inżynierska,2020-10-12 00:00:00.0
1074,02,52.264094,21.033050,Starzyńskiego,2020-10-12 00:00:00.0
